Time	Energy
4.3247	-102.1947
4.3294	-103.1064
4.3342	-103.0843
4.3389	-102.6347
4.3437	-102.4765
4.3484	-103.1969
4.3532	-103.7832
4.3579	-102.7305
4.3627	-103.6430
4.3674	-103.3135
4.3722	-102.5074
4.3769	-102.6047
4.3817	-103.3872
4.3864	-102.9757
4.3912	-102.6917
4.3959	-103.5361
4.4007	-103.0997
4.4055	-103.0728
4.4102	-103.1280
4.4150	-103.8747
4.4197	-104.0011
4.4245	-103.1074
4.4292	-103.4083
4.4340	-103.1183
4.4387	-103.8445
4.4435	-104.1485
4.4482	-103.2938
4.4530	-103.9540
4.4577	-103.6542
4.4625	-103.4163
4.4672	-103.3901
4.4720	-103.2061
4.4767	-104.2448
4.4815	-103.8335
4.4862	-103.2876
4.4910	-104.3648
4.4957	-103.4476
4.5005	-103.6089
4.5053	-104.6106
4.5100	-103.7225
4.5148	-103.3014
4.5195	-104.0857
4.5243	-104.2403
4.5290	-105.0301
4.5338	-103.8408
4.5385	-104.5264
4.5433	-104.3900
4.5480	-105.2361
4.5528	-103.1424
4.5575	-103.8177
4.5623	-103.3337
4.5670	-104.4236
4.5718	-105.0884
4.5765	-104.4129
4.5813	-104.5958
4.5860	-104.8445
4.5908	-103.8292
4.5955	-104.8764
4.6003	-105.4028
4.6051	-104.8540
4.6098	-105.0227
4.6146	-104.1799
4.6193	-104.9737
4.6241	-105.0478
4.6288	-105.4108
4.6336	-104.3945
4.6383	-104.5705
4.6431	-105.3060
4.6478	-104.4269
4.6526	-105.1719
4.6573	-105.0164
4.6621	-105.1816
4.6668	-105.1382
4.6716	-105.6735
4.6763	-105.2923
4.6811	-105.7099
4.6858	-106.4710
4.6906	-105.6256
4.6953	-105.0710
4.7001	-105.0664
4.7049	-106.3322
4.7096	-105.0435
4.7144	-106.2310
4.7191	-105.5948
4.7239	-105.8781
4.7286	-106.3085
4.7334	-105.9559
4.7381	-104.7226
4.7429	-106.0376
4.7476	-105.4227
4.7524	-105.7784
4.7571	-105.5842
4.7619	-106.3993
4.7666	-105.7958
4.7714	-105.6552
4.7761	-106.3207
4.7809	-107.0442
4.7856	-106.0462
4.7904	-105.7859
4.7951	-106.1111
4.7999	-106.1999
4.8047	-105.7566
4.8094	-105.3717
4.8142	-106.8427
4.8189	-106.4978
4.8237	-106.1925
4.8284	-106.4363
4.8332	-106.2030
4.8379	-105.4428
4.8427	-106.1506
4.8474	-105.6973
4.8522	-106.5408
4.8569	-105.7117
4.8617	-106.3705
4.8664	-106.9213
4.8712	-106.2951
4.8759	-106.9019
4.8807	-106.6986
4.8854	-106.7478
4.8902	-106.1901
4.8949	-105.0964
4.8997	-106.8437
4.9045	-105.8647
4.9092	-106.9340
4.9140	-106.7107
4.9187	-105.5819
4.9235	-106.5797
4.9282	-105.8174
4.9330	-106.1837
4.9377	-106.7803
4.9425	-106.2091
4.9472	-106.2853
4.9520	-106.6882
4.9567	-105.9823
4.9615	-106.0280
4.9662	-106.3561
4.9710	-106.2331
4.9757	-106.3540
4.9805	-107.1385
4.9852	-106.1498
4.9900	-106.5089
4.9947	-106.2435
4.9995	-106.7487
5.0043	-106.1571
5.0090	-106.8067
5.0138	-106.6559
5.0185	-106.7291
5.0233	-106.9221
5.0280	-106.1260
5.0328	-106.1049
5.0375	-106.6034
5.0423	-106.6602
5.0470	-107.2076
5.0518	-106.1622
5.0565	-107.8291
5.0613	-105.9870
5.0660	-106.1825
5.0708	-105.5797
5.0755	-105.8311
5.0803	-105.9896
5.0850	-105.1454
5.0898	-105.7065
5.0945	-107.0142
5.0993	-106.4494
5.1041	-105.9528
5.1088	-106.0047
5.1136	-106.7302
5.1183	-106.3918
5.1231	-107.2133
5.1278	-105.6101
5.1326	-105.7181
5.1373	-107.0323
5.1421	-106.8988
5.1468	-106.1692
5.1516	-106.3714
5.1563	-104.9649
5.1611	-106.4814
5.1658	-106.8806
5.1706	-105.3307
5.1753	-106.0445
5.1801	-107.2436
5.1848	-106.5752
5.1896	-105.4084
5.1943	-106.7636
5.1991	-105.2743
5.2039	-105.4618
5.2086	-106.2868
5.2134	-104.5283
5.2181	-105.8300
5.2229	-106.0006
5.2276	-105.5496
5.2324	-106.1556
5.2371	-106.0511
5.2419	-105.9384
5.2466	-105.9961
5.2514	-106.3143
5.2561	-105.9859
5.2609	-105.1152
5.2656	-105.8973
5.2704	-104.8562
5.2751	-106.9871
5.2799	-105.8267
5.2846	-106.1883
5.2894	-106.2446
5.2941	-105.6204
5.2989	-106.0420
5.3037	-105.4807
5.3084	-105.9034
5.3132	-106.6470
5.3179	-104.3229
5.3227	-105.6623
5.3274	-105.4804
5.3322	-105.0982
5.3369	-105.4594
5.3417	-105.7285
5.3464	-105.4878
5.3512	-105.3633
5.3559	-104.5027
5.3607	-105.6129
5.3654	-106.0515
5.3702	-105.3768
5.3749	-105.9313
5.3797	-105.4974
5.3844	-104.3633
5.3892	-105.1332
5.3939	-105.1232
5.3987	-105.2335
5.4035	-105.1300
5.4082	-105.6763
5.4130	-104.2920
5.4177	-104.7492
5.4225	-104.4300
5.4272	-105.4781
5.4320	-104.5162
5.4367	-105.1703
5.4415	-103.9878
5.4462	-105.5171
5.4510	-104.8614
5.4557	-104.8732
5.4605	-104.9280
5.4652	-105.0896
5.4700	-104.4563
5.4747	-103.7000
5.4795	-104.2266
5.4842	-104.4736
5.4890	-104.6739
5.4937	-104.4882
5.4985	-104.3667
5.5033	-104.8014
5.5080	-104.2210
5.5128	-104.7394
5.5175	-104.5936
5.5223	-104.2673
5.5270	-104.7347
5.5318	-104.3590
5.5365	-104.5438
5.5413	-104.9607
5.5460	-105.1325
5.5508	-105.3135
5.5555	-103.8871
5.5603	-104.2583
5.5650	-104.8632
5.5698	-103.6586
5.5745	-103.7853
5.5793	-104.0988
5.5840	-103.2177
5.5888	-103.9925
5.5935	-103.6757
5.5983	-103.8057
5.6031	-103.5011
5.6078	-103.4180
5.6126	-104.2193
5.6173	-103.4418
5.6221	-103.4670
5.6268	-103.8084
5.6316	-102.8582
5.6363	-102.9590
5.6411	-103.9652
5.6458	-102.7912
5.6506	-103.7447
5.6553	-103.6272
5.6601	-104.3016
5.6648	-103.3641
5.6696	-103.8558
5.6743	-102.9621
5.6791	-103.0760
5.6838	-103.5295
5.6886	-102.6886
5.6933	-103.0636
5.6981	-102.7262
5.7029	-104.0772
5.7076	-103.7757
5.7124	-103.0489
5.7171	-103.2877
5.7219	-103.0920
5.7266	-102.5185
5.7314	-102.8090
5.7361	-102.5091
5.7409	-102.2697
5.7456	-102.4308
5.7504	-102.6309
5.7551	-102.9625
5.7599	-103.0876
5.7646	-102.5633
5.7694	-102.2526
5.7741	-102.5051
5.7789	-102.2064
5.7836	-102.5321
5.7884	-102.9464
5.7931	-102.0679
5.7979	-103.0076
5.8027	-102.8035
5.8074	-102.5945
5.8122	-102.1432
5.8169	-102.4048
5.8217	-102.5163
5.8264	-101.6685
5.8312	-102.8137
5.8359	-101.9138
5.8407	-102.8864
5.8454	-101.9541
5.8502	-102.2222
5.8549	-101.8676
5.8597	-101.1540
5.8644	-101.4837
5.8692	-102.2890
5.8739	-101.5295
5.8787	-100.6596
5.8834	-101.2454
5.8882	-102.5413
5.8929	-101.9221
5.8977	-101.0483
5.9025	-101.5624
5.9072	-101.4314
5.9120	-100.8371
5.9167	-101.9273
5.9215	-101.2289
5.9262	-100.8579
5.9310	-101.1492
5.9357	-101.1012
5.9405	-100.7385
5.9452	-101.7477
5.9500	-101.2743
5.9547	-100.7428
5.9595	-100.0114
5.9642	-101.1633
5.9690	-100.8315
5.9737	-101.2747
5.9785	-100.6934
5.9832	-100.3652
5.9880	-100.9730
5.9927	-100.9469
5.9975	-101.2123
6.0023	-100.5797
6.0070	-101.1805
6.0118	-101.2031
6.0165	-100.4820
6.0213	-100.4462
6.0260	-99.8341
6.0308	-99.6454
